,user_id,rt_count,user_name
0, 20715638,833,PhilDeCarolis
1, 3997870336,672,PrincessBibiRF_
2, 877151043540275200,293,notfarmerwife
3, 573735828,275,_ForeignService
4, 330196261,164,GMitakides
5, 2790533485,151,DerekMaher3
6, 92721492,134,ArunThomas9847
7, 390192403,131,NgoiePado
8, 836229740386111488,122,MathersLig
9, 357742193,119,Viejis39
10, 2889274562,114,standtallnroar
11, 2403016908,103,yuuji_K1
12, 106110119,101,sonialena11
13, 2951437537,80,laahaq
14, 1488977785,78,esprit1789
15, 994383073,77,idee_kenkyu
16, 930802544514760704,75,thearmaghankhan
17, 935674752,71,alvarorivas8
18, 819999549284610048,69,TaranePouramadi
19, 2924676656,67,virtualtrashnew
20, 1170803145850707971,64,happenings900
21, 43730427,63,sandoly
22, 3101168904,62,soleil82639
23, 4732149554,62,2ndArtillery
24, 1006858593398747137,58,PSingh76633752
25, 335324325,54,Ollissya
26, 1014721509045104641,51,WaveRecords4
27, 706666255684599808,51,compuncion
28, 156579343,48,MostaPi
29, 3300720066,46,AltemusFrances
30, 38396827,45,akunsudi
31, 1002552939624271874,44,a_naxim
32, 2719393013,44,jandoveli
33, 1146959008802234368,43,solomon850i
34, 159095242,42,johnjoechad
35, 83410481,42,HipHopMatrix
36, 1959255415,41,BorisAAO
37, 1153834516101902336,39,HassanY89
38, 876339662,38,GoodAppleClub
39, 347655070,38,melody4913
40, 540308129,37,mfitzsimmons40
41, 155066416,37,trashyvinny
42, 999679349933699077,36,FATEHAAKMALKHA1
43, 519983462,36,mohsinmalvi19
44, 1169413214,35,DavidJohnson_27
45, 234579413,35,DetroitDeeDee
46, 319901569,35,EzzelarabLaila
47, 932655609136082945,35,XiangchengDing
48, 49377563,35,JuanBFMartinez
49, 167960359,33,Ka5hBrokeDaBanK
50, 45568375,33,bustanuLis
51, 4645228618,33,jibinjoyindia
52, 1124870862765789184,32,choroni_uraca
53, 124791980,31,Futatimbo
54, 1556141845,31,mnooruzzaman62
55, 1047424491935084544,31,GaneshS94887289
56, 4428305440,30,Andre3Verzaal
57, 166514736,29,WASUP52
58, 1193051446561787910,29,virapichet
59, 236681060,29,flugennock
60, 1230199789033312261,28,CuAlbannach
61, 1212877995649552385,28,ControversyJS
62, 785408959364665344,28,BlairvacqLouis
63, 1234533525581418498,28,PoteGalvez1
64, 149712202,28,UnCappingAgate
